Year,GCAG,GISTEMP
1880,-0.1148,-0.2
1881,-0.0628,-0.12
1882,-0.0648,-0.1
1883,-0.1424,-0.21
1884,-0.2009,-0.28
1885,-0.2125,-0.32
1886,-0.2003,-0.31
1887,-0.2489,-0.33
1888,-0.1471,-0.2
1889,-0.0982,-0.12
1890,-0.3220,-0.37
1891,-0.2532,-0.24
1892,-0.3062,-0.27
1893,-0.3212,-0.3
1894,-0.2808,-0.31
1895,-0.2290,-0.21
1896,-0.0974,-0.15
1897,-0.1224,-0.11
1898,-0.2546,-0.28
1899,-0.1173,-0.16
1900,-0.0679,-0.09
1901,-0.1417,-0.15
1902,-0.2463,-0.27
1903,-0.3369,-0.35
1904,-0.4194,-0.44
1905,-0.2931,-0.28
1906,-0.2174,-0.23
1907,-0.3706,-0.4
1908,-0.4396,-0.43
1909,-0.4261,-0.47
1910,-0.3789,-0.42
1911,-0.4332,-0.44
1912,-0.3288,-0.35
1913,-0.3162,-0.34
1914,-0.1395,-0.16
1915,-0.0693,-0.11
1916,-0.2930,-0.34
1917,-0.3146,-0.4
1918,-0.2084,-0.26
1919,-0.2055,-0.22
1920,-0.2105,-0.27
1921,-0.1485,-0.21
1922,-0.2304,-0.28
1923,-0.2156,-0.24
1924,-0.2486,-0.28
1925,-0.1481,-0.21
1926,-0.0667,-0.1
1927,-0.1546,-0.21
1928,-0.1774,-0.21
1929,-0.2985,-0.36
1930,-0.1003,-0.15
1931,-0.0686,-0.09
1932,-0.1168,-0.17
1933,-0.2439,-0.29
1934,-0.1015,-0.14
1935,-0.1392,-0.2
1936,-0.1134,-0.15
1937,-0.0157,-0.03
1938,-0.0288,-0.03
1939,-0.0139,-0.03
1940,0.0947,0.08
1941,0.1960,0.12
1942,0.1538,0.09
1943,0.1570,0.13
1944,0.2928,0.25
1945,0.1710,0.12
1946,-0.0040,-0.04
1947,-0.0477,-0.05
1948,-0.0487,-0.09
1949,-0.0568,-0.09
1950,-0.1616,-0.18
1951,-0.0132,-0.07
1952,0.0248,0.01
1953,0.0952,0.08
1954,-0.1165,-0.13
1955,-0.1354,-0.15
1956,-0.1990,-0.2
1957,0.0488,0.04
1958,0.1095,0.07
1959,0.0596,0.03
1960,0.0204,-0.02
1961,0.0775,0.05
1962,0.0888,0.03
1963,0.1068,0.06
1964,-0.1495,-0.2
1965,-0.0780,-0.1
1966,-0.0227,-0.05
1967,-0.0131,-0.02
1968,-0.0296,-0.07
1969,0.0929,0.07
1970,0.0372,0.02
1971,-0.0783,-0.09
1972,0.0264,0.01
1973,0.1641,0.15
1974,-0.0719,-0.07
1975,0.0034,-0.02
1976,-0.0792,-0.11
1977,0.1978,0.18
1978,0.1123,0.07
1979,0.2273,0.17
1980,0.2637,0.27
1981,0.2999,0.33
1982,0.1815,0.13
1983,0.3411,0.3
1984,0.1490,0.15
1985,0.1342,0.12
1986,0.2296,0.19
1987,0.3696,0.33
1988,0.3757,0.41
1989,0.2970,0.29
1990,0.4328,0.44
1991,0.4055,0.43
1992,0.2571,0.23
1993,0.2853,0.24
1994,0.3409,0.32
1995,0.4577,0.46
1996,0.3228,0.35
1997,0.5187,0.48
1998,0.6344,0.64
1999,0.4438,0.42
2000,0.4262,0.42
2001,0.5473,0.55
2002,0.6023,0.63
2003,0.6134,0.62
2004,0.5783,0.55
2005,0.6585,0.69
2006,0.6125,0.63
2007,0.6100,0.66
2008,0.5419,0.54
2009,0.6367,0.64
2010,0.7014,0.71
2011,0.5788,0.6
2012,0.6240,0.63
2013,0.6679,0.65
2014,0.7408,0.74
2015,0.8998,0.87
2016,0.9363,0.99
