country,Country₁,Continents
AFGHANISTAN,AFGHANISTAN,ASIA
 ALBANIA,ALBANIA,EUROPE
 ALGERIA,ALGERIA,AFRIQUE
 ANDORRA,ANDORRA,EUROPE
 ANGOLA,ANGOLA,AFRIQUE
 ANGUILLA,ANGUILLA,OTHER
 ANTARCTIC FISHERIES,ANTARCTIC FISHERIES,ANTARCTICA
 ANTIGUA & BARBUDA,ANTIGUA & BARBUDA,CENTRAL AMERICA
 ARGENTINA,ARGENTINA,SOUTH AMERICA
 ARMENIA,ARMENIA,ASIA
 ARUBA,ARUBA,CENTRAL AMERICA
 AUSTRALIA,AUSTRALIA,AUSTRALIA
 AUSTRIA,AUSTRIA,EUROPE
 AZERBAIJAN,AZERBAIJAN,ASIA
 BAHAMAS,BAHAMAS,CENTRAL AMERICA
 BAHRAIN,BAHRAIN,ASIA
 BANGLADESH,BANGLADESH,ASIA
 BARBADOS,BARBADOS,CENTRAL AMERICA
 BELARUS,BELARUS,EUROPE
 BELGIUM,BELGIUM,EUROPE
 BELIZE,BELIZE,CENTRAL AMERICA
 BENIN,BENIN,AFRIQUE
 BERMUDA,BERMUDA,NORTH AMERICA
 BHUTAN,BHUTAN,ASIA
 BONAIRE SAINT EUSTATIUS AND SABA,BONAIRE SAINT EUSTATIUS AND SABA,SOUTH AMERICA
 BOSNIA & HERZEGOVINA,BOSNIA & HERZEGOVINA,EUROPE
 BOTSWANA,BOTSWANA,AFRIQUE
 BRAZIL,BRAZIL,SOUTH AMERICA
 BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,OTHER
 BRUNEI (DARUSSALAM),BRUNEI (DARUSSALAM),ASIA
 BULGARIA,BULGARIA,EUROPE
 BURKINA FASO,BURKINA FASO,AFRIQUE
 BURUNDI,BURUNDI,AFRIQUE
 CAMBODIA,CAMBODIA,ASIA
 CANADA,CANADA,NORTH AMERICA
 CAPE VERDE,CAPE VERDE,AFRIQUE
 CAYMAN ISLANDS,CAYMAN ISLANDS,OTHER
 CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC,AFRIQUE
 CHAD,CHAD,AFRIQUE
 CHILE,CHILE,SOUTH AMERICA
 CHINA (MAINLAND),CHINA (MAINLAND),ASIA
 CHRISTMAS ISLAND,CHRISTMAS ISLAND,OTHJER
 COLOMBIA,COLOMBIA,SOUTH AMERICA
 COMOROS,COMOROS,AFRIQUE
 CONGO,CONGO,AFRIQUE
 COOK ISLANDS,COOK ISLANDS,OTHER
 COSTA RICA,COSTA RICA,CENTRAL AMERICA
 COTE D IVOIRE,COTE D IVOIRE,AFRIQUE
 CROATIA,CROATIA,EUROPE
 CUBA,CUBA,CENTRAL AMERICA
 CURACAO,CURACAO,CENTRAL AMERICA
 CYPRUS,CYPRUS,ASIA
 CZECH REPUBLIC,CZECH REPUBLIC,EUROPE
 CZECHOSLOVAKIA,CZECHOSLOVAKIA,EUROPE
 DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,ASIA
 DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),AFRIQUE
 DEMOCRATIC REPUBLIC OF VIETNAM,DEMOCRATIC REPUBLIC OF VIETNAM,ASIA
 DENMARK,DENMARK,EUROPE
 DJIBOUTI,DJIBOUTI,AFRIQUE
 DOMINICA,DOMINICA,CENTRAL AMERICA
 DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,CENTRAL AMERICA
 EAST & WEST PAKISTAN,EAST & WEST PAKISTAN,ASIA
 ECUADOR,ECUADOR,SOUTH AMERICA
 EGYPT,EGYPT,AFRIQUE
 EL SALVADOR,EL SALVADOR,CENTRAL AMERICA
 EQUATORIAL GUINEA,EQUATORIAL GUINEA,AFRIQUE
 ERITREA,ERITREA,AFRIQUE
 ESTONIA,ESTONIA,EUROPE
 ETHIOPIA,ETHIOPIA,AFRIQUE
 FAEROE ISLANDS,FAEROE ISLANDS,OTHER
 FALKLAND ISLANDS (MALVINAS),FALKLAND ISLANDS (MALVINAS),OTHER
 FEDERAL REPUBLIC OF GERMANY,FEDERAL REPUBLIC OF GERMANY,OTHER
 FEDERATED STATES OF MICRONESIA,FEDERATED STATES OF MICRONESIA,AUSTRALIA
 FEDERATION OF MALAYA-SINGAPORE,FEDERATION OF MALAYA-SINGAPORE,OTHER
 FIJI,FIJI,AUSTRALIA
 FINLAND,FINLAND,EUROPE
 FORMER DEMOCRATIC YEMEN,FORMER DEMOCRATIC YEMEN,ASIA
 FORMER GERMAN DEMOCRATIC REPUBLIC,FORMER GERMAN DEMOCRATIC REPUBLIC,OTHER
 FORMER PANAMA CANAL ZONE,FORMER PANAMA CANAL ZONE,OTHER
 FORMER YEMEN,FORMER YEMEN,ASIA
 FRANCE (INCLUDING MONACO),FRANCE (INCLUDING MONACO),EUROPE
 FRENCH EQUATORIAL AFRICA,FRENCH EQUATORIAL AFRICA,AFRIQUE
 FRENCH GUIANA,FRENCH GUIANA,SOUTH AMERICA
 FRENCH INDO-CHINA,FRENCH INDO-CHINA,EUROPE
 FRENCH POLYNESIA,FRENCH POLYNESIA,EUROPE
